500, 0.03254, 0.005
1000, 0.01596, 0.005
1500, 0.01356, 0.005
2000, 0.01096, 0.005
2500, 0.01004, 0.005
3000, 0.00907, 0.005
3500, 0.00817, 0.005
4000, 0.00777, 0.005
4500, 0.00748, 0.005
5000, 0.00681, 0.005
5500, 0.00640, 0.005
6000, 0.00614, 0.005
6500, 0.00632, 0.005
7000, 0.00583, 0.005
7500, 0.00570, 0.005
8000, 0.00546, 0.005
8500, 0.00548, 0.005
9000, 0.00528, 0.005
9500, 0.00518, 0.005
10000, 0.00496, 0.005
10500, 0.00811, 0.02
11000, 0.00771, 0.02
11500, 0.00668, 0.02
12000, 0.00594, 0.02
12500, 0.00597, 0.02
13000, 0.00560, 0.02
13500, 0.00529, 0.02
14000, 0.00524, 0.02
14500, 0.00477, 0.02
15000, 0.00463, 0.02
15500, 0.00504, 0.02
16000, 0.00463, 0.02
16500, 0.00450, 0.02
17000, 0.00438, 0.02
17500, 0.00449, 0.02
18000, 0.00424, 0.02
18500, 0.00404, 0.02
19000, 0.00422, 0.02
19500, 0.00430, 0.02
20000, 0.00420, 0.02
20500, 0.00402, 0.02
21000, 0.00395, 0.02
21500, 0.00391, 0.02
22000, 0.00400, 0.02
22500, 0.00384, 0.02
23000, 0.00372, 0.02
23500, 0.00366, 0.02
24000, 0.00349, 0.02
24500, 0.00341, 0.02
25000, 0.00356, 0.02
25500, 0.00324, 0.02
26000, 0.00336, 0.02
26500, 0.00339, 0.02
27000, 0.00347, 0.02
27500, 0.00343, 0.02
28000, 0.00329, 0.02
28500, 0.00327, 0.02
29000, 0.00318, 0.02
29500, 0.00342, 0.02
30000, 0.00333, 0.02
30500, 0.00331, 0.02
31000, 0.00324, 0.02
31500, 0.00325, 0.02
32000, 0.00331, 0.02
32500, 0.00315, 0.02
33000, 0.00295, 0.02
33500, 0.00316, 0.02
34000, 0.00295, 0.02
34500, 0.00309, 0.02
35000, 0.00302, 0.02
35500, 0.00283, 0.02
36000, 0.00276, 0.02
36500, 0.00292, 0.02
37000, 0.00302, 0.02
37500, 0.00295, 0.02
38000, 0.00284, 0.02
38500, 0.00314, 0.02
39000, 0.00276, 0.02
39500, 0.00305, 0.02
40000, 0.00299, 0.02
40500, 0.00294, 0.02
41000, 0.00288, 0.02
41500, 0.00262, 0.02
42000, 0.00280, 0.02
42500, 0.00274, 0.02
43000, 0.00274, 0.02
43500, 0.00288, 0.02
44000, 0.00281, 0.02
44500, 0.00264, 0.02
45000, 0.00263, 0.02
45500, 0.00265, 0.02
46000, 0.00271, 0.02
46500, 0.00269, 0.02
47000, 0.00267, 0.02
47500, 0.00259, 0.02
48000, 0.00268, 0.02
48500, 0.00264, 0.02
49000, 0.00258, 0.02
49500, 0.00296, 0.02
50000, 0.00282, 0.02
50500, 0.00245, 0.02
51000, 0.00256, 0.02
51500, 0.00263, 0.02
52000, 0.00273, 0.02
52500, 0.00248, 0.02
53000, 0.00248, 0.02
53500, 0.00242, 0.02
54000, 0.00248, 0.02
54500, 0.00248, 0.02
55000, 0.00251, 0.02
55500, 0.00248, 0.02
56000, 0.00265, 0.02
56500, 0.00249, 0.02
57000, 0.00243, 0.02
57500, 0.00244, 0.02
58000, 0.00249, 0.02
58500, 0.00236, 0.02
59000, 0.00239, 0.02
59500, 0.00237, 0.02
60000, 0.00238, 0.02
60500, 0.00231, 0.02
61000, 0.00221, 0.02
61500, 0.00242, 0.02
62000, 0.00239, 0.02
62500, 0.00244, 0.02
63000, 0.00224, 0.02
63500, 0.00234, 0.02
64000, 0.00237, 0.02
64500, 0.00223, 0.02
65000, 0.00220, 0.02
65500, 0.00226, 0.02
66000, 0.00228, 0.02
